;2004M01;2004M02;2004M03;2004M04;2004M05;2004M06;2004M07;2004M08;2004M09;2004M10;2004M11;2004M12;2005M01;2005M02;2005M03;2005M04;2005M05;2005M06;2005M07;2005M08;2005M09;2005M10;2005M11;2005M12;2006M01;2006M02;2006M03;2006M04;2006M05;2006M06;2006M07;2006M08;2006M09;2006M10;2006M11;2006M12;2007M01;2007M02;2007M03;2007M04;2007M05;2007M06;2007M07;2007M08;2007M09;2007M10;2007M11;2007M12;2008M01;2008M02;2008M03;2008M04;2008M05;2008M06;2008M07;2008M08;2008M09;2008M10;2008M11;2008M12;2009M01;2009M02;2009M03;2009M04;2009M05;2009M06;2009M07;2009M08;2009M09;2009M10;2009M11;2009M12;2010M01;2010M02;2010M03;2010M04;2010M05;2010M06;2010M07;2010M08;2010M09;2010M10;2010M11;2010M12;2011M01;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M08;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12
Region Hovedstaden;20256;20449;20620;21097;21231;21799;22343;22564;22879;23041;23648;24016;24541;25103;25734;26595;27604;28341;29163;30105;30753;31673;32436;32983;33944;34401;34686;35046;36118;36274;36267;35944;35581;35195;35025;34808;34757;34393;34207;34099;34202;34206;33554;33313;33313;32831;32711;32499;32326;32231;31980;31904;31723;31518;31023;30790;30320;29616;29333;28966;28354;28199;27933;27876;27722;27630;27270;27074;26889;27200;26860;26910;27141;27107;27329;27395;27324;27193;27037;26945;27137;27040;26873;26871;25106;25102;24888;24875;24787;24488;24625;24170;24129;24481;24318;24543;24417;24296;24255;24397;24481;24735;24887;24931;25193;25693;25928;25366;26241;25924;26132;26210;26373;26501;26271;26800;27005;27775;27215;27177;28030;28329;28320;28808;28959;28947;28953;29106;29121;29603;30471;30728;31485;31878;32357;32745;32859;33451;33081;33604;33680;33839;33809;34187;34689;35017;35410;35411;35741;35726;35709;36151;36170;36819;36770;37497;37552;37661;37956;38310;38425;38764;38659;38900;39236;39206;39321;39640
Landsdel København by;21481;21760;21899;22671;23134;23895;24253;24523;25073;25042;25768;26137;26733;27459;28145;29368;30587;31397;32579;33050;34079;35286;36020;36659;37790;38287;38087;38453;39084;39106;39197;38821;38512;38021;37663;37402;37348;36804;36620;36419;36415;36310;35734;35338;35361;34815;34732;34475;34295;34165;33976;33995;33649;33558;32985;32762;32148;31553;31333;31093;30307;30138;29719;29669;29579;29707;29663;29521;29333;29734;29371;29381;29791;29780;29935;30117;30298;30128;29957;29872;30240;29929;29686;29653;27257;27307;27183;26936;26762;26467;26700;26297;26303;26560;26452;26928;26762;26629;26583;26806;26917;27229;27405;27535;28030;28745;29033;28020;29677;29351;29573;29521;29760;29908;29720;30450;30756;31967;31959;31914;32457;32716;32965;33308;33695;33714;33753;33988;34264;34474;35751;35947;36901;37430;38448;38973;38930;39640;39396;39201;39196;39322;39053;39513;40150;40503;40965;41065;41589;41482;41383;42047;41935;42834;42834;43653;43958;43978;44361;44950;44857;45316;45112;45623;46072;45693;46013;46508
København;21884;22195;22313;22623;23035;23566;24066;24255;25007;24975;25700;26005;26537;27363;28049;29331;30753;31511;32945;33270;34178;35442;35982;36821;38059;38590;38386;38552;39177;39304;39378;38821;38778;38210;37890;37579;37531;36968;36824;36721;36788;36603;35885;35469;35634;35039;34921;34578;34444;34358;34169;34438;33920;33932;33278;33091;32388;31811;31594;31364;30468;30289;29849;29831;29707;29820;29898;29690;29369;29731;29531;29363;29892;29806;30096;30273;30510;30284;29948;29785;30225;29754;29490;29339;26820;26905;26805;26584;26357;25913;26274;25826;25882;26157;26025;26591;26310;26230;26133;26468;26715;27126;27284;27426;27873;28698;29048;28969;29721;29350;29328;29224;29398;29460;29355;30200;30548;32002;32066;31856;32471;32851;32986;33330;33664;33652;33743;34021;34454;34409;36044;36178;37110;37628;38980;39675;39358;39969;39793;39339;39101;39289;38878;39517;40132;40475;40861;40835;41352;41361;41401;42024;41824;42764;42728;43916;43962;43958;44256;44984;44893;45455;45039;45476;45946;45752;46102;46785
Frederiksberg;20471;20621;20917;23144;23825;25359;25475;25820;25835;25830;26638;27217;28055;28486;29102;30250;30854;31863;32464;33453;34586;35583;36816;36984;37869;38216;38364;39394;39843;39405;39459;39673;38627;38323;37756;37651;37430;36910;36628;36129;35860;36009;35874;35511;34995;34629;34682;34737;34386;34088;33886;33169;33438;33022;32708;32355;32044;31367;31146;30870;30434;30279;29845;29737;29885;30086;29530;29731;30033;30490;29502;30059;30177;30482;30185;30483;30579;30972;31036;31119;31223;31351;31091;31461;29435;29459;29104;28756;28755;28999;28837;28575;28388;28675;28664;28886;29164;28895;29105;29046;28596;28556;28837;28923;29462;29889;29915;25250;30599;30304;31525;31791;32243;32726;32284;32699;32905;33420;33230;33569;33810;33424;34135;34501;35089;35259;35131;35144;34765;35967;35963;36428;37604;38254;38178;38078;38900;40022;39530;40331;41164;40758;41132;40897;41835;42282;43159;43777;44428;43856;43038;43876;44077;44865;44936;44442;45676;45686;46348;46476;46277;46363;46993;47547;48031;46940;47123;46941
Dragør;25644;25594;25078;24909;25156;25828;17500;26638;26943;24866;23622;24841;24368;24216;26399;28706;28081;28333;25287;24074;32947;33915;38581;35625;34120;38140;34120;33584;34611;34002;35947;34336;34368;34824;35735;34754;34676;34465;35078;34046;33017;37540;38452;37845;35306;33844;33372;33143;33955;32831;35891;33282;32436;31941;31765;31583;31227;32079;31830;31576;32502;32500;32648;32096;31179;31763;31864;31648;30782;31175;31051;30564;30077;30455;30247;29687;28497;13118;27691;28657;28448;28562;29161;28709;25843;26153;25911;26134;26822;25860;25798;26743;27232;25235;24492;25529;25071;24768;22484;22322;22886;24831;25156;25389;25004;23917;24798;26193;25095;24990;24806;24815;26061;25058;23725;23905;22896;24667;19176;23725;23295;25827;26493;26928;26354;26642;24460;25769;29768;32229;32201;32509;31734;32321;29545;29563;32029;37762;33123;31868;31285;42768;36235;38427;32063;32088;30038;28920;28920;30027;30491;30228;29934;29729;33520;34937;34307;36274;36495;36637;34220;32307;33564;32500;34259;34360;34644;35981
Tårnby;18072;18730;18119;19120;19109;19439;19834;19793;19459;19585;20007;20156;20613;21329;22337;22228;23591;24213;24242;24621;26512;28371;29454;29266;30029;30140;27761;28194;30511;31780;32290;32138;30632;30086;30180;30221;31497;31252;30543;30115;30546;29642;29196;29153;30153;29532;29429;29148;28790;28983;28207;27370;27150;26749;26389;26129;25625;24755;24461;24216;23531;23518;23758;23314;22390;22262;22799;21737;21595;22762;22633;23666;23003;22523;22385;21847;21243;21061;21076;21817;22304;23268;23718;24088;22578;21631;22803;22499;22370;22290;21886;21444;21429;21263;21257;20857;20634;19973;19819;18903;19443;19256;19072;19182;21035;21084;21508;21440;20884;21764;21280;20089;20398;20660;20206;20052;20139;19339;19704;20741;21805;23312;23150;23236;23779;23407;23698;24221;24205;23912;24526;24420;24540;24353;24408;24711;25869;25281;25825;25955;26677;26916;27179;27310;27554;27509;27487;27715;27499;27149;28393;29140;29405;30092;29921;29236;30632;31186;32138;31994;33256;33905;33490;36559;35698;34992;35444;35096
Landsdel Københavns omegn;19680;19822;20094;20077;19658;20050;20609;20656;20954;21600;21900;21990;22639;23035;23926;24319;24954;25885;26333;28207;28108;28827;29604;29964;31221;31431;32363;32852;34947;34856;34487;34220;33949;33617;33530;33269;33165;33008;32571;32718;33112;33194;32144;32342;32093;31689;31415;31301;31058;31184;30862;30633;30294;29817;29251;29133;28734;27746;27456;26818;26299;25988;25965;25890;25663;25795;24906;24614;24536;24590;24498;24551;24675;24655;25158;24943;24486;24650;24379;24215;24476;23971;23831;23738;22518;22460;22412;22652;22638;22431;22244;22141;22104;22280;22016;21933;21770;21767;21706;21689;21905;22163;22359;22441;22381;22570;22699;22652;22689;22855;23130;23458;23201;23321;22928;23173;23451;23740;21490;21589;23565;24168;23786;24160;23856;23897;23791;24100;24285;24901;25067;25245;25897;26504;26327;26397;26988;27430;26450;28310;28791;29162;29165;29413;29860;30002;30187;30252;30419;30709;30789;30966;31178;31347;31032;31884;31369;31791;32185;31951;32731;32995;33097;33274;33526;34084;33981;34025
Albertslund;14454;15539;15143;15044;14448;14948;15349;16034;16831;16764;16567;18578;17700;16525;16369;16606;16694;17137;19283;19438;20575;20545;21747;21894;21021;24344;24042;23262;23927;25032;23905;23540;23499;23575;24397;24424;24140;24299;24148;24184;23886;24203;23921;24068;24346;23900;23374;23016;22883;22439;22851;21972;21829;22006;21463;21672;20570;21051;21810;21729;20587;19412;19619;19590;19016;18610;18351;18277;17832;17811;17882;18575;18604;18225;18036;18314;17953;18496;17619;18769;18147;17669;16822;17391;15418;16654;15917;16122;15298;15225;15108;14971;15085;15029;14931;14594;14733;15174;14591;15206;15686;15732;15882;15325;12488;14564;14805;14711;15626;16594;16503;16908;16995;17498;17483;18564;18015;17168;15498;17705;18385;18473;17425;17967;21862;16211;16141;16262;17478;17463;18409;18204;17574;18268;17602;18056;18441;17861;18440;18250;19031;19175;21735;20438;20219;21070;21195;20774;19952;19866;19532;20021;18877;20845;19993;20900;20938;20736;20984;20755;21645;22693;22949;22040;22260;22166;21873;21925
Ballerup;16437;18258;18364;17328;16805;19658;19697;20322;21033;20537;20699;20923;21567;21449;21697;22016;21679;21581;21860;22908;24446;27746;27344;26832;26495;26183;26507;26358;26723;26940;27170;27580;27472;27490;27045;27051;26804;26938;27047;27081;27587;27835;27284;27033;26808;27015;26820;26990;27407;27238;26839;26523;25780;25256;25154;24657;24291;23747;23750;23815;23350;22775;22777;22541;22360;22462;22407;21193;21725;21847;22068;21885;22005;21620;21630;21087;21614;21960;21975;22137;21898;21947;22008;21649;20482;20409;20058;19682;19658;19276;18976;18712;18705;18267;18804;18840;18677;18652;18558;18113;17779;18147;18405;18313;18325;18869;18867;19477;19218;18872;19266;19831;19584;19470;18977;19065;18850;19010;19401;18966;18798;18997;19073;19347;20471;20884;20651;21568;21765;22117;22368;22543;22934;23194;22401;22185;21738;22868;23428;23885;23748;23228;24438;25179;24937;23715;24365;24799;24175;24875;25361;24162;23373;24237;24854;25376;24051;24534;24636;24937;26062;25283;25504;25988;26965;28420;28583;26885
Brøndby;17060;16730;15954;16177;15045;16147;15616;15872;12108;12737;13218;13389;17233;17532;17479;18510;20079;19167;19013;22886;22836;22418;23406;23101;22402;21721;23096;23636;24905;24804;24817;24899;24793;24847;25192;24619;24877;24413;28447;27962;27598;27625;27437;27078;27181;26929;26827;26213;26663;26539;26627;26653;25708;25848;25160;25696;25734;25659;25631;25590;21832;21173;19399;18697;18617;18761;18215;18384;18243;18522;16876;16893;16735;19487;20377;19643;18230;17994;19066;18327;18177;17599;17599;17005;16377;15389;15907;15717;16840;16539;16849;16356;16101;15767;15515;15364;15400;15681;15326;16287;16378;15493;15719;15307;16087;16570;16756;16487;15698;15017;15218;15826;15840;16043;15758;15804;15525;15258;15971;15964;16035;15498;15533;15204;15136;15842;14822;14341;16064;16307;16167;16167;18000;18885;18582;18879;19848;20466;19621;19621;18203;17930;18463;18500;17852;18267;18829;19311;19910;19549;19820;19799;20244;20775;22139;21323;16283;18804;20652;21449;21115;21860;20192;20980;22005;22813;22462;22125
