;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2022M01;2022M02;2022M03;2022M04;2022M05;2022M06;2022M07;2022M08;2022M09;2022M10;2022M11;2022M12;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04
Region Hovedstaden;40225;40399;40104;40041;40434;40825;40727;40930;41115;40891;41521;41746;41671;41435;41127;41422;41510;41554;41638;41531;41655;41253;41895;41433;42238;42477;42523;42718;42868;43335;43405;44252;44452;45040;45695;46211;47242;48148;48572;49443;49501;49576;49451;49706;49976;50542;51168;51669;51685;51229;52354;53143;53026;52227;51758;51599;50993;50396;50024;49846;49653;49804;50460;50916;51361;52234;52366;52448;53562;54037;53642;53570;53718;53509;54060;54690
Landsdel København by;47333;47444;47052;46899;47262;47575;47573;47758;47930;47655;47800;48063;47914;47543;47382;47638;47788;47786;47909;47825;48030;47221;47825;47316;48406;48758;48932;49168;49390;50199;50520;51134;51287;52297;53338;53827;54842;55594;56539;57676;57534;57421;57316;57382;57845;58651;59529;60596;60983;60272;61793;62471;62502;61365;60393;60441;59529;58721;58431;58156;57839;57995;58796;59460;60291;61710;62089;61953;63387;64165;63693;63501;63500;63058;63838;64426
København;47223;47384;46900;46687;47156;47419;47470;47813;48175;47815;47914;48325;48172;47870;47570;47840;48030;47735;47901;47859;48370;47395;48167;47389;48792;49269;49232;49478;49904;50634;50686;51599;51091;52328;53409;53944;54691;55606;56267;57320;57064;56926;56965;56881;57544;58483;59652;60755;61042;59928;61952;62604;62157;60876;60171;60329;59335;58559;58374;58268;58008;58215;58905;59896;61161;62608;63304;62682;64236;64829;64237;63954;63743;63228;64061;64409
Frederiksberg;49703;49379;49470;49007;49007;49513;49115;48863;48214;48334;48602;48285;48273;47550;47845;48133;48119;49388;49411;49152;48097;48135;48134;48668;48479;48457;49334;49571;49073;50375;51615;51164;54212;54396;55365;55719;58044;58029;59853;61593;61955;61931;61311;62079;61680;61991;61771;62733;63574;64530;64040;64979;66874;66166;63877;63459;62897;61837;61179;60214;59678;59498;60831;60246;59249;60738;59789;61756;62815;64426;64575;64883;65400;65339;65985;67626
Dragør;34606;32541;29944;40119;39740;46981;47693;40489;41867;38992;40728;41926;36067;34888;41267;41156;40132;40078;38801;40447;39997;38256;40472;40857;37200;37723;39620;39858;37946;40897;43250;44193;44890;40630;39228;39695;38494;40624;56420;46070;47099;45548;40549;40677;39921;42856;42620;42824;43693;43551;44583;45906;46705;47982;48682;46225;44840;45919;45430;42415;40404;46005;45281;43278;45701;45277;43442;43961;45066;45516;43574;37294;44838;41316;41950;43680
Tårnby;32944;35677;34835;37452;37314;36265;37624;37331;37401;37381;37811;37504;37444;37774;37388;36923;37263;37011;36718;36221;36246;34327;33655;33805;34804;33629;35337;35166;34356;33303;35535;33644;34232;34614;35244;35093;35608;36393;37888;39357;39074;39458;39195;39066;39388;38822;37950;38666;38783;39025;38621;37865;40098;40410;40265;40643;39961;39725;38605;38365;38072;38088;38854;38215;37845;37880;37920;38283;38319;39116;38230;38447;39873;39801;39517;40678
Landsdel Københavns omegn;34481;34485;34551;34528;34475;35130;34802;34804;34845;34512;36587;36624;36605;36383;35735;35933;35865;35984;36032;36096;36148;36361;37176;36937;37149;37294;36926;37040;37208;36882;36755;38451;38492;38298;38471;39351;40493;42002;41827;42656;42692;42644;42382;42779;42706;42717;43150;42870;42025;41993;42584;43620;43384;43317;43438;42794;42434;42122;41344;41155;40964;41226;41705;41511;41544;42128;41873;42618;43569;43622;42924;43288;42685;43004;43565;44668
Albertslund;22258;21975;21849;21664;21262;21490;21732;22317;21872;21581;21728;21464;21879;22736;23330;23370;23141;23244;22889;22861;23471;22869;22222;22456;23762;24238;23636;24139;24035;24809;24219;23708;24773;25143;25847;24063;23879;23478;23641;22635;24005;23477;23815;26003;25855;24825;22703;24231;27735;27182;29354;30435;29889;29233;29946;28570;27815;28349;27314;26254;25490;25644;25404;24980;24952;25045;24307;24561;28016;28886;26996;26522;25246;25379;25438;26491
Ballerup;26928;25933;26756;26920;27085;26799;26493;26972;27151;27803;28244;26829;27189;27791;27723;26377;27464;27489;28664;27973;31782;31981;32172;32019;32552;32668;32978;32499;32992;32834;32646;32840;32708;33419;33602;33849;33878;33342;34151;34776;33651;33003;33180;33067;32628;32617;33304;34550;34255;33807;33599;34340;34007;34649;34150;34125;33625;34058;33523;33142;32039;30663;31406;31600;31921;34216;34061;33418;33209;33252;32942;32055;30962;30821;31843;32718
Brøndby;22715;23971;24191;25582;26008;24532;24725;24306;23068;21936;23238;23351;23842;25671;24497;24858;26355;26069;27892;26742;27685;29063;28699;30507;30699;31471;32350;31479;30584;29393;30999;26910;25594;25862;27705;31724;31955;35037;32949;32611;30785;32016;31875;28134;28946;30039;29500;29315;29937;29412;28973;28771;27539;29525;29299;29020;28783;33678;34315;34633;35528;35554;36828;27153;32657;35900;36963;37548;38573;33635;34225;32792;31059;30405;31631;29394
