;2004M01;2004M02;2004M03;2004M04;2004M05;2004M06;2004M07;2004M08;2004M09;2004M10;2004M11;2004M12;2005M01;2005M02;2005M03;2005M04;2005M05;2005M06;2005M07;2005M08;2005M09;2005M10;2005M11;2005M12;2006M01;2006M02;2006M03;2006M04;2006M05;2006M06;2006M07;2006M08;2006M09;2006M10;2006M11;2006M12;2007M01;2007M02;2007M03;2007M04;2007M05;2007M06;2007M07;2007M08;2007M09;2007M10;2007M11;2007M12;2008M01;2008M02;2008M03;2008M04;2008M05;2008M06;2008M07;2008M08;2008M09;2008M10;2008M11;2008M12;2009M01;2009M02;2009M03;2009M04;2009M05;2009M06;2009M07;2009M08;2009M09;2009M10;2009M11;2009M12;2010M01;2010M02;2010M03;2010M04;2010M05;2010M06;2010M07;2010M08;2010M09;2010M10;2010M11;2010M12;2011M01;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M08;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12
Region Hovedstaden;17799;17802;17549;18017;17988;18008;18536;18686;18683;18961;19107;19191;19486;19585;19940;20349;20873;21845;22475;23153;24020;24783;24330;24263;24501;24931;25214;25678;26476;27376;27865;27910;27941;27809;27796;27554;26958;27178;27594;27778;28023;27782;27968;27894;28214;27557;27599;27829;27583;27545;27194;27143;27152;26998;26988;26773;26315;26278;26174;25831;25484;25199;25395;25502;25208;25235;25236;25139;25288;24626;24390;23898;24043;23668;24520;24297;24648;24462;24397;24332;23835;23638;23191;23322;23130;22894;22744;22775;22807;22305;22217;22217;21970;21681;21783;21951;21935;21761;21319;21426;21434;21440;21562;21784;21587;21506;21344;21379;21545;21408;21197;21130;21213;21134;21117;20998;20700;20932;20900;20422;20231;20085;19801;20084;20364;20524;20642;20473;20186;20156;20017;19976;20071;20175;20443;20706;20706;20844;21274;21283;20913;21394;21014;20857;20924;21048;22011;22320;22535;22270;22686;22767;23116;22870;22869;22598;22494;22310;22904;23129;23121;23617;23935;23862;23751;24064;23679;23780
Landsdel København by;11051;13770;12724;11310;12267;13740;13988;11199;19833;20423;20310;12501;12322;14345;11305;9358;9651;12552;13219;22004;26267;22358;21033;21049;24892;28452;29452;37173;34564;38662;21392;19963;29180;30979;39084;39110;39110;37417;38645;30293;30453;29734;29732;31544;32093;32049;35020;34287;34432;30934;29334;28831;28669;26281;26031;26321;26423;26470;25891;24888;24881;27571;28600;28773;28340;31417;22687;22696;20474;19860;18909;19144;19272;19167;19417;18900;18459;20601;20658;21655;22114;22238;21926;22295;22392;21372;22630;21506;21204;20800;22945;24997;20269;20138;19702;20071;20286;20192;19925;20503;20491;19767;20018;26842;26112;25845;26387;26772;20111;18302;18552;17329;24698;22412;22323;22306;21809;20670;21903;18572;18736;20860;21036;20242;20529;20524;22738;22591;22387;26137;24455;24136;24498;20539;23699;25039;23653;20110;19690;15768;29208;28295;31280;31957;33523;35731;36906;31595;31940;31518;30610;30822;28728;27024;26437;24619;24473;24149;23984;23731;24200;26472;24531;28518;29433;29226;29754;28725
København;16236;16546;17339;16127;16351;17228;16917;14549;12500;11250;16911;11250;12868;16738;16738;19208;21059;17263;17263;23732;23732;24321;29672;0;13636;19672;0;0;0;0;0;0;0;20690;0;0;0;0;0;23438;23438;25347;26303;26114;28904;23150;21642;19371;19223;23494;23494;21429;21429;24960;21734;21734;22723;20960;19911;19554;18661;18125;18482;18036;17589;0;0;0;18571;16791;16791;18571;0;0;0;0;0;64750;25306;40964;43240;42573;40031;40031;38124;28524;32690;32406;25588;30604;32702;30146;30704;34228;28675;32994;40354;40354;39923;38548;36935;33710;36800;43490;43490;43490;43490;58333;58333;0;26500;39706;39706;28726;22644;17868;18500;0;0;0;0;0;0;0;30948;0;25776;19375;0;35900;35900;37300;36550;29479;25528;18333;18333;18333;18333;19267;34524;0;0;0;0;0;49900;49900;49900;48804;53135;53581;46566;44924;39730;33649;27833;27833;31038;31038;31038;0;0;60833;60833;60833;60833;0
Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28481;0;0;0;0;0;0;0;25643;25643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33977;33977;0;31705;31705;31705;0
Dragør;12676;16026;14070;0;0;15370;15370;0;28049;28049;28049;0;13068;17841;0;0;0;16364;16364;25550;26583;26234;25159;26175;26175;29452;29452;49545;49545;62500;27740;27740;29180;28026;28026;28079;28079;24671;27143;26486;26824;30862;30238;34787;32596;33097;39467;38170;39037;37564;34219;33382;33295;30110;29647;28083;28901;28824;28384;28498;28452;34983;36600;37371;37274;42775;25686;25173;25408;23451;22864;23192;22917;21883;22488;21839;21280;21429;22611;22264;23604;24007;23696;24540;24190;23179;24244;22917;22421;21536;25570;25433;20494;20947;20164;20741;20646;19775;19854;20113;21562;21049;21049;34477;33157;33118;33736;34884;21746;20948;20003;19080;27184;27097;27538;26811;26086;26042;27940;19821;19420;23519;23325;21791;21816;24155;25673;25749;26298;29227;25911;25201;25981;24596;29397;28475;26261;27111;26271;17182;26635;25362;24375;20729;24412;28511;28167;26000;26944;27557;28378;28769;30227;28900;28900;25752;25752;26277;26098;25590;26664;28218;25559;24583;26654;26515;25708;24395
Tårnby;8652;11032;10694;10664;11720;11563;12146;10750;12201;14101;13174;12654;11528;10642;10642;8156;8260;8260;9657;18333;0;18309;15988;15988;0;0;0;24956;19770;15123;15123;12284;0;34950;50000;50000;50000;50000;50000;34755;34755;29071;29583;28899;31923;31923;31923;31923;31368;25000;25000;25000;24745;22540;22820;25018;24302;24426;23742;21447;21570;20358;20809;20386;19586;18939;19392;19974;15242;16174;14740;14740;15263;16180;16038;15667;15357;15906;18111;19329;18665;18519;18403;18287;19048;18774;19986;19008;19493;19135;19227;24068;19105;18014;18407;18202;18123;18868;18237;19335;17875;17141;17415;17064;16912;16495;16994;15457;15457;15457;16390;13750;20887;16893;16689;17796;17459;14891;15409;17227;18000;18000;18575;18575;18355;16618;19389;19389;18176;22133;22133;22133;22155;15658;17523;21810;21216;12778;12778;14043;31607;31414;38622;43897;43529;43662;45653;36541;36250;34735;31583;31583;25912;23789;22861;22782;22849;21569;21199;21210;21045;24555;23401;30721;30426;30131;32161;33481
Landsdel Københavns omegn;15172;15138;15052;15014;15230;15256;15329;15244;15244;15321;14199;14264;14346;14430;14613;14148;14348;13825;20121;15349;15158;16317;16845;16704;17375;18575;19415;20270;21031;22173;22447;23338;23884;26506;26048;26012;26185;26037;25685;25550;25774;28089;34753;33010;27888;26070;25140;26584;23419;22448;23928;24876;24269;25376;25169;24930;24960;23541;22637;22410;20522;20432;22535;21038;20810;21911;21408;21070;22320;22108;22149;22068;21772;21679;21701;18034;17356;17106;18062;18223;21860;21861;19742;19765;19756;20537;21721;25308;25011;24526;24563;23183;21365;22373;18131;18404;20050;18313;19100;20049;18457;21551;21415;21872;23252;22806;19772;19739;18785;17745;18580;18284;16200;14758;14103;14919;14648;46452;46865;20740;20774;21690;21854;20669;19821;20796;21189;18599;18050;17073;14418;15762;16368;17565;18839;13905;18838;20208;20707;20602;20517;21136;20811;22108;20981;19779;22683;21843;22621;21657;23040;21286;20677;21488;23188;26765;26730;21968;22665;21243;21222;21101;35945;31948;29179;29852;29665;25374
Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21598;20567;20567;20567;20567;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6413;6413;0;0;0;0;0;0;7065;7065;7065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ballerup;12515;12127;12024;12327;12540;12111;11878;12353;10422;11531;12994;13758;13812;13768;14542;14568;15164;15072;16039;15480;15954;16388;16138;15336;15832;17362;18548;17397;18599;20170;23119;22182;22092;22374;21958;22815;21856;21751;22425;21687;22253;22593;24177;24629;23779;23743;23856;24189;23775;23914;23942;23924;23358;22993;22800;22605;23141;21398;21055;20472;21223;21312;20532;20081;19826;19768;19399;19325;19360;18884;18893;18334;18954;18474;18544;18444;18407;17839;17674;17656;17775;17408;17315;17794;17731;17806;17881;16830;17346;17499;16938;16573;15870;15648;15775;15217;14935;15776;15247;14739;15140;16242;15884;16376;15955;15602;16264;16329;15568;15118;15018;15263;14819;14886;14443;14401;14737;15162;15508;15337;15567;15854;16493;16861;16886;16410;15608;15633;15361;15817;15630;15352;15150;15537;16216;16288;17344;16464;15449;15807;15696;17422;17383;19008;19735;18090;18021;18613;18480;17667;17243;18062;17796;17426;19723;19119;21296;19965;18037;23327;21683;21518;22425;23064;23491;22315;23466;24931
Brøndby;12034;12034;12034;12034;12034;0;0;0;0;0;0;24583;24583;24583;24583;24583;24583;24583;24583;0;0;0;0;0;0;0;0;29900;29900;29900;29900;29900;29900;29900;29900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gladsaxe;13167;13167;10250;8500;0;0;0;0;20109;20109;20109;20109;20109;20109;20109;12882;16382;19457;18370;17283;17283;17283;17283;17283;17283;17283;17283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15364;15364;15364;15364;15364;14000;12636;12636;12636;12636;0;0;0;0;0;0;0;16212;17440;17469;17298;17298;17298;17298;17298;17298;17298;17298;17298;0;0;0;0;0;18543;18543;18543;18543;0;0;0;0;0;0;110926;110926;110926;0;0;0;12429;12429;11857;39242;11286;0;0;0;0;0;11900;11900;11900;10875;9167;9167;9167;9167;10625;10375;10375;7833;7833;7833;7833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glostrup;0;0;0;0;0;0;0;10833;0;0;0;0;0;0;0;0;0;13900;23883;23883;23883;23218;12900;12900;12900;20948;21855;22645;22884;22884;22884;22966;22966;23193;23193;23193;23193;23029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15980;15980;15980;15980;15980;15980;15980;15980;15480;0;0;0;13500;13500;13500;13500;13500;17700;17700;17700;21900;17270;13573;13432;13028;12780;15240;15240;15240;19980;13565;12362;13940;13440;13440;13440;13440;7745;0;0;0;0;7745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17444;15244;0;0;0;0;0;0
Herlev;0;0;0;0;0;0;0;12595;12595;12595;12595;12595;12595;0;0;0;0;0;0;0;12436;12115;0;0;0;0;0;0;0;0;0;0;0;0;17727;17727;21667;21667;16128;15405;19978;0;0;0;0;0;34034;34034;17667;16278;0;0;0;0;0;0;0;17500;17500;17500;0;0;0;0;0;0;0;14083;25238;24940;24643;24643;24643;24643;24643;24643;13250;13250;13250;13250;0;0;0;0;0;0;0;0;0;0;41458;41458;16932;16932;6846;0;0;0;0;0;0;0;0;0;0;34767;0;19167;19167;19167;18526;17885;0;0;0;0;0;0;0;0;0;28452;28452;0;0;0;0;28452;28452;0;9000;9000;9000;13000;13000;13000;13000;12000;12000;12000;11875;12833;12833;12000;12000;12000;12000;9000;9000;9000;9000;9000;9000;9000;0;0;0;0;22990;24947;23298;23298;23298;21170;19043;0;0;0
