;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2022M01;2022M02;2022M03;2022M04;2022M05;2022M06;2022M07;2022M08;2022M09;2022M10;2022M11;2022M12;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04
Region Hovedstaden;23755;23688;24083;23974;24270;24285;24476;24244;24255;24379;24331;24576;24552;24608;24425;24577;24588;25240;25114;25694;26117;25861;26495;26718;26866;26812;26735;26473;26899;27846;27506;27625;27851;28252;29144;29447;29833;29909;31110;32698;33056;34195;34487;34181;34365;33900;34578;34233;35779;35538;36583;37383;37934;38788;37492;37759;37587;36706;36549;37934;38843;38868;39409;39259;40699;41449;41590;43686;43221;44515;44650;43239;44248;42169;40956;40425
Landsdel København by;27796;32334;30510;32658;31976;32131;33715;32846;33657;32758;30579;29533;35414;34698;34681;32314;34599;35593;38002;37939;33626;33709;33497;34877;33739;33363;33993;33578;30494;24165;32838;34015;32768;35535;34274;35451;36741;34449;35610;39181;39428;40863;38617;40903;36825;36699;36759;35441;38294;36735;44464;44316;37356;42525;41346;40137;44273;41501;41568;41817;41415;41884;38239;37588;37081;36274;35878;34740;35000;32147;34667;34719;34043;33439;35549;35819
København;0;42833;41643;58481;54647;65931;72067;70889;69231;54542;56503;65385;65385;65385;61497;61971;56207;58558;58558;58558;59923;59923;59955;59955;59955;59955;59955;59923;59923;0;0;0;52544;71310;61786;61786;60595;59405;59405;71310;72943;68923;65872;66693;67182;55472;78571;78571;78571;99968;49950;64167;55398;61947;61170;61816;58111;56681;55483;54255;56869;54630;50385;50530;48253;52092;53798;51978;51397;49461;58691;61841;60084;57854;60662;62209
Frederiksberg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29953;26600;26600;26600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12786;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dragør;23526;29525;30030;33952;35935;32438;35364;34583;36263;35668;32950;26317;48007;45091;45220;38503;42736;41129;45791;46811;36808;34957;37218;35608;36689;37019;36821;31844;27867;26267;40636;39813;37467;41006;39079;40155;41632;40813;40497;40818;38485;41786;39193;42718;37300;37784;38920;33395;38401;38401;54965;52867;38068;49203;47179;47393;54768;50068;51471;50517;49662;48830;41645;41162;40340;39327;38638;39474;40836;37528;38394;38701;38385;38697;41631;41487
Tårnby;31343;34718;30283;29481;26077;29501;29327;28381;28418;28124;26250;30590;19936;21521;21609;23694;24445;28125;28290;27068;28446;30600;27730;32396;28912;27779;29310;33583;31214;21992;24643;27921;26488;27360;27360;28722;29985;26071;28862;35284;38147;37992;36163;37246;34269;34286;31653;34667;35450;30697;33058;33986;35385;34191;33972;31165;32484;31616;30387;31979;31841;33839;33894;33015;32954;32045;31763;28596;27755;25317;29122;28697;27715;26258;27456;28074
Landsdel Københavns omegn;29692;41648;22709;32290;23793;24754;30627;32478;32837;33097;30137;26761;27486;29069;30081;29990;30883;30090;31548;32210;32113;31624;31175;30529;31923;30807;30695;32557;30223;31177;32727;32098;31925;30401;30458;31315;30441;30234;30942;33456;34189;34785;32906;33322;32640;32141;31782;33628;32987;37365;36491;35220;35074;33713;32873;34494;37202;35986;33817;35154;34972;35550;33805;34296;36447;38302;38323;37479;35829;36151;35972;34907;35626;36651;35001;35467
Albertslund;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ballerup;24833;26353;24068;24550;24448;24298;24782;24792;25184;25730;26216;27208;27134;26264;26331;25767;25480;26162;26409;26220;27666;26967;26515;25704;25890;25628;25796;25750;25662;25516;27002;26312;26120;26093;25569;25136;25652;26462;27601;28451;27930;27960;28078;29079;30178;29729;29157;28719;29229;29385;29749;29552;28673;29620;28842;30622;29589;28378;27560;27931;27874;28801;28311;27164;27350;27664;26598;26185;25955;26345;26122;25926;24872;25077;26517;26159
Brøndby;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;93222;0;0;0;0;0;31429;31429;31429;31429;31429;31429;31429;31429;31429;31429;31429;31429;31429;31429;31429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gentofte;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gladsaxe;0;0;0;0;0;0;0;0;0;0;0;0;0;39875;39875;39875;34397;31552;28707;28707;0;0;0;0;0;0;0;0;0;0;29917;29917;0;0;48226;41528;41528;41528;41528;47414;47414;47414;0;0;39800;39800;39800;39800;39800;39800;0;0;0;0;0;0;0;0;27907;26686;25465;0;0;0;0;0;34455;34455;36754;36754;30149;29000;29000;0;58250;44649
