;2004M01;2004M02;2004M03;2004M04;2004M05;2004M06;2004M07;2004M08;2004M09;2004M10;2004M11;2004M12;2005M01;2005M02;2005M03;2005M04;2005M05;2005M06;2005M07;2005M08;2005M09;2005M10;2005M11;2005M12;2006M01;2006M02;2006M03;2006M04;2006M05;2006M06;2006M07;2006M08;2006M09;2006M10;2006M11;2006M12;2007M01;2007M02;2007M03;2007M04;2007M05;2007M06;2007M07;2007M08;2007M09;2007M10;2007M11;2007M12;2008M01;2008M02;2008M03;2008M04;2008M05;2008M06;2008M07;2008M08;2008M09;2008M10;2008M11;2008M12;2009M01;2009M02;2009M03;2009M04;2009M05;2009M06;2009M07;2009M08;2009M09;2009M10;2009M11;2009M12;2010M01;2010M02;2010M03;2010M04;2010M05;2010M06;2010M07;2010M08;2010M09;2010M10;2010M11;2010M12;2011M01;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M08;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12
Region Hovedstaden;16673;16858;17015;17190;17582;17807;18055;18296;18477;18838;19141;19235;19499;19997;20400;20951;21474;22177;22707;23550;24249;24914;25349;26005;26541;27316;27956;28663;29208;29810;29962;30124;30167;30045;29834;29815;29621;29593;29550;29524;29273;29168;28975;28903;28834;28632;28375;28222;27958;27851;27669;27699;27659;27414;27127;26963;26628;26083;25503;25154;24902;24428;24309;24215;24043;23994;24063;24020;24067;24116;24210;24318;24411;24389;24460;24657;24789;24811;24798;24818;24910;24954;24824;24719;24715;24869;24832;24795;24839;24648;24548;24432;24298;24119;23776;23619;23515;23375;23344;23265;23208;23345;23292;23291;23393;23373;23383;23442;23436;23400;23397;23403;23508;23511;23507;23539;23701;23859;23903;23832;24070;24174;24228;24208;24280;24242;24363;24545;24662;24724;24942;25079;25039;25114;25413;25727;25964;26187;26058;26374;26648;26735;26891;26825;26741;26613;26948;26984;27240;27513;27544;27830;27902;28050;27926;28067;28077;28093;28372;28397;28782;28862;28931;29395;29540;29554;29684;29585
Landsdel København by;18808;19089;19268;19270;19307;19927;19860;20329;20504;21175;21454;21538;22059;22527;22867;23722;25055;26010;26713;27402;27759;28306;29127;30331;30484;31326;32113;32391;33080;33746;34145;34645;34651;34492;33945;33937;33627;33254;33248;33158;32671;32532;32566;32324;32606;32183;32211;32419;31782;31574;31457;31391;31471;31455;31268;31077;30453;29762;29020;28386;28139;27536;27095;26970;27074;27001;27061;27153;27132;26948;27132;27788;28016;28321;28227;28035;28188;28441;28240;28483;28194;28361;28008;28392;28634;29359;29560;29024;29420;29272;29113;29006;28801;28632;28440;28295;28351;28226;28183;28190;27909;27996;27772;27654;28054;28205;28000;28258;27797;27800;28104;28221;28401;28410;28452;28501;28961;29640;29914;29802;30056;30799;30820;31282;31324;30865;31147;31419;31304;31063;31615;32127;32370;32496;32786;32769;33082;33726;33841;34536;35217;35965;35926;35911;35419;34835;35840;35869;35994;37013;36813;37516;38193;38926;38232;38673;38167;38343;38792;38349;39547;39535;40154;41775;42274;41924;42413;41540
København;19325;19649;20040;20056;19983;20682;20464;20996;20985;22078;22608;22829;23398;24018;24049;24621;26197;27616;27824;28306;28708;29394;29512;30378;31092;32024;33076;33646;34461;34605;35019;35376;35511;35786;35317;35019;34873;34567;34373;34055;33833;33651;33619;33204;33582;32981;32843;33168;32251;31958;31934;32028;32289;32336;32128;31922;31251;30661;29824;29080;28850;28132;27549;27733;27676;27525;27601;27860;27732;27923;28017;28809;28906;29271;29271;29027;29091;29140;28977;29343;29123;28875;28472;28386;29033;30381;30330;29928;30564;30402;30160;30142;29935;29745;29585;29536;29585;29536;29646;29484;28977;29122;28857;28694;29137;29503;29456;29626;28777;28708;29077;29105;29365;29236;29188;29220;29987;31049;31525;31288;31477;32273;32397;32985;33053;32418;32904;33005;32984;32615;32830;33320;33837;34347;34465;34315;34900;35880;35951;36627;37219;37311;37507;37675;37439;36807;37727;37845;37724;39091;39075;40210;40981;41728;40543;40971;40438;40588;40792;40184;41672;41644;42674;45183;45265;44670;45442;44120
Frederiksberg;21746;22502;21533;21922;22531;23184;24085;24686;26395;26585;25772;25722;26007;26271;26573;27305;32217;32334;34434;34873;34432;34886;34768;35463;36245;35999;35824;35089;36191;41450;43154;44083;44089;42369;40760;42754;41284;40755;41646;41882;39535;39456;40687;41555;41831;42442;43716;43110;42197;42469;42567;42071;41910;41675;41234;41690;40738;39072;38941;38258;37432;37221;36739;34702;36007;36326;36920;36117;36175;36132;36424;36098;36019;37127;36142;36272;37644;39057;37636;37793;36682;39162;36928;42690;41375;40309;43810;40067;41387;40535;41185;40486;40437;40028;39478;38987;39982;39101;39478;39992;40253;39657;39032;39112;39418;39258;38154;38405;38692;39811;38713;38978;39713;38804;39765;39639;40191;41125;41560;41205;41400;42464;41613;41771;42662;42364;42596;44436;42948;42290;44039;46822;46282;43713;46367;45743;45980;45983;45701;45425;49351;53528;53379;50633;49719;49752;53104;53509;53968;53686;51541;50913;52104;54527;54868;56607;55337;55753;57357;58030;57638;57070;57376;61476;60788;61088;60095;59497
Dragør;19639;19737;19163;18440;18458;18678;18252;18845;18141;18334;18146;18290;19465;19381;20789;21768;23285;23694;24497;26761;28060;25726;29987;31065;30108;31452;32183;32484;33035;34404;34165;35697;35360;34921;33883;33083;32586;31563;31864;32366;31705;31681;31468;31173;31332;30920;30989;31063;31184;31453;30490;30328;30420;30024;30062;29924;29591;29241;28196;27749;27766;27400;26972;27209;27410;27606;27444;27065;27843;25434;26280;27109;27670;27985;27519;27305;27637;28086;28477;28028;28362;29044;29187;29394;29592;28909;27906;27819;27234;27319;27325;27056;26669;26278;26411;26121;25779;26043;25079;25232;25548;25816;25943;25689;26028;25724;25276;25789;26294;25929;26616;27284;26692;27029;26779;26901;26934;26748;26478;26610;26648;26988;27324;28029;28023;27539;27755;27821;28053;28407;30197;29781;28881;27517;27654;29041;28796;28806;28848;29226;30050;31071;30687;30798;30452;30228;30377;30202;30140;30804;30313;30521;31349;31911;32020;32097;32119;32554;32729;31921;33606;34628;33440;33136;33083;32733;32955;32719
Tårnby;15923;15995;16314;16464;16622;17182;17366;17554;18110;17975;18134;17845;18021;18376;19129;20780;20073;20251;21821;22478;22570;24051;25651;28056;26886;27629;28023;27812;28057;28281;28470;28758;28551;27860;27686;28174;27886;27680;27757;27925;27414;27324;27241;27130;27197;26943;26989;27208;27112;26756;26694;26365;26009;26070;25925;25530;25018;24217;23672;23282;23064;22542;22508;22003;22103;21986;21920;22070;21954;21696;21783;22316;22866;22715;22843;22694;22594;22928;22768;23016;22525;22823;23033;22960;22615;22862;23195;23183;23037;23067;22785;22706;22540;22617;22307;22080;22013;21756;21567;21809;21696;21772;21638;21643;21982;21852;21626;22017;21947;21938;22366;22422;22548;23113;23225;23350;23109;23022;22924;23136;23693;24364;24252;24346;24043;24039;23752;24065;23994;23962;24482;24710;24976;25640;25671;25584;25408;25608;26023;27259;27003;28314;27804;28151;26995;26164;27003;26743;27550;28185;28267;28420;28577;28766;28750;28948;28537;28579;29464;29282;29965;29702;30101;29215;31591;31719;32032;32059
Landsdel Københavns omegn;17990;18279;18441;18605;19148;19333;19653;19943;20099;20669;20894;20787;21173;21865;22275;23044;23501;24144;24729;26054;27025;28208;28804;29360;29955;30800;31631;32451;33040;33481;33353;33477;33232;33066;32723;32603;32307;32205;32129;32092;31927;31870;31753;31549;31255;31067;30751;30459;30305;30105;29727;29789;29762;29711;29334;29006;28612;27924;27365;27009;26699;26261;26432;26333;25879;25850;26017;26112;26178;26276;26611;26624;26900;26783;26919;27304;27374;27427;27412;27562;27639;27629;27524;27476;27507;27610;27683;27875;27841;27615;27620;27396;27318;27067;26682;26335;26264;26036;26079;25939;25983;26288;26287;26386;26391;26264;26533;26587;26658;26810;26517;26547;26569;26650;26591;26564;26790;26851;26794;26845;27107;27278;27453;27276;27228;27318;27378;27493;27767;27989;28361;28526;28298;28496;28951;29323;29689;29924;29664;30001;30409;30237;30605;30498;30605;30545;30967;30803;31020;31343;31428;31795;31497;31495;31627;31590;31977;32139;32222;32191;32543;32613;32400;32795;32934;33225;33356;33397
Albertslund;13777;14143;14377;15143;15176;15961;16629;16237;16354;16605;16796;16739;16689;17578;17333;18221;19507;19574;19249;19668;20262;20516;20773;21459;21566;23304;24159;24282;24254;23526;24115;24059;23677;23745;23859;23734;23722;23861;23870;23318;23370;23240;23128;22866;22840;22742;22724;22700;21894;22330;21721;21926;21805;21779;21520;21259;21070;20910;20777;20857;20646;19364;19583;19349;19304;19031;18769;19145;19293;19471;19293;19554;19821;19543;19585;20127;20337;20173;20369;19949;19862;19973;20102;19901;19557;19346;19510;19452;19635;19767;19753;19714;19590;19521;19268;19383;19273;18952;18668;18389;18474;18884;18885;18923;19077;18524;18694;18746;18575;18643;18554;18379;18045;17960;18025;17217;17595;17635;17530;17944;17690;17772;17933;18154;17960;18077;18404;18874;19073;19161;19268;19469;19598;19055;18955;19386;20582;21079;21178;21014;21398;21126;20903;21436;21458;21438;20943;21117;21080;21279;21235;21954;21654;21866;22102;22094;22139;22167;22065;22752;22972;23031;23239;22250;21906;22221;23285;22369
Ballerup;15931;15961;15896;16250;16368;16700;17120;17570;18047;18450;19076;18925;19050;19084;18823;19582;20254;21690;21636;23044;23586;23784;23876;24703;24826;25325;25725;26495;27137;27024;27056;27684;27580;27470;27760;27530;26918;26929;27459;27391;27278;27104;26907;26685;26368;26176;26319;26182;25708;25541;25512;25392;25005;24861;24652;24348;23904;23458;23206;23027;23051;22949;22546;22462;21663;21434;21489;21619;21586;21413;21381;21138;21136;21807;22321;22597;22223;22516;22410;22860;23078;22736;22777;22660;22547;22462;21833;22600;22533;22659;22565;22293;22119;22040;21769;21158;21176;21021;21074;21330;21081;21258;21310;21261;21083;20835;20963;20923;20726;21389;21410;21112;21146;21314;21116;21552;21531;21439;21422;21341;21681;21900;22171;21895;22014;21918;22050;22201;21830;21619;22133;22348;22641;22805;23103;22871;23934;23901;23869;23649;24088;23875;24070;24143;24732;24170;24309;24258;24257;24677;25133;25411;25321;25182;25088;25058;25185;25704;25857;25159;25339;26092;26172;26216;26025;25846;25580;25655
Brøndby;15491;16063;16207;16187;16604;17005;17343;17594;17386;17820;17255;17629;17282;17855;18228;18411;19020;19739;20380;21177;21719;22452;24034;22784;24647;24704;25919;26621;26471;26244;26281;25977;25730;25655;25577;25574;25807;25936;25708;25763;25428;25012;25291;25298;25694;25926;25318;25263;25011;24503;24314;24167;23801;23493;22878;22331;22154;21681;21254;21209;20848;20099;20049;19863;19761;19566;19664;20387;19546;19898;20093;20268;20630;20654;20823;20628;21250;21505;21639;21551;21436;21218;21558;21183;21095;21317;21459;21613;21796;21487;21340;21122;20837;20390;20160;19653;19196;19163;19056;18698;19201;19232;19101;19350;19607;20055;20027;19934;20088;20266;19698;20078;20103;19920;19936;19897;19726;20077;20088;20406;21087;20677;20738;21083;20857;20526;20412;20568;20854;20576;20635;20732;20762;20975;20784;21409;21213;21434;21527;21408;22398;22770;23254;23396;23530;23442;22980;23030;23374;23230;23658;23597;23119;22898;23303;22507;23587;23952;25029;24920;24830;24624;24143;25138;25283;25429;24615;24879
