;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2020M05;2020M06;2020M07;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2022M01;2022M02;2022M03;2022M04;2022M05;2022M06;2022M07;2022M08;2022M09;2022M10;2022M11;2022M12;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04
Region Hovedstaden;29727;29842;30153;30478;30471;30486;30564;30592;30655;30458;30606;30667;30784;30575;30744;31041;31010;31091;31298;31484;31532;31462;31327;31459;31538;31845;32153;32228;32343;32579;32813;33128;33479;33872;34491;34625;35411;36072;36570;37386;38033;38588;38686;39139;39596;39400;39846;40092;40604;41046;41305;41739;42121;42488;42162;42144;41528;40874;40232;39839;39451;39174;39139;39091;39747;40084;40057;40631;41184;41704;41716;41551;41670;41869;41983;42247
Landsdel København by;41910;42231;42741;43621;43662;43818;43972;43893;43867;43118;43031;43444;43226;42625;43026;43310;43331;42645;43574;43655;43488;43207;42956;43308;43272;44375;45117;45398;45159;45981;46149;46195;46788;48066;49787;49656;50889;51808;52319;53931;53932;54324;53411;54988;55462;54539;57662;58021;60080;60335;60681;60307;62144;61938;61117;60983;59708;58359;57736;57412;56531;56680;56754;55931;56631;57029;56789;58751;59195;60763;61350;60519;61062;61290;62021;62468
København;45298;45926;46050;47135;47126;47646;47584;48240;48126;46722;46329;46730;46236;45580;46476;46567;46634;46065;47195;47257;46836;46298;46179;46813;46747;48019;48419;48780;48411;49373;49599;49081;49931;52317;54736;54089;54417;55153;55995;56722;56729;56504;55737;58476;59214;58565;63313;63235;65783;66397;66596;65179;67050;66945;66054;65939;63736;62390;62585;62121;60978;61441;60891;59432;60271;61273;60842;64230;64801;66842;67234;67320;67977;68489;68611;69345
Frederiksberg;56969;56304;59809;60894;61204;59430;61710;57656;56664;56306;57803;59204;61004;59735;59216;61595;60528;57154;59654;60542;62193;63088;61714;61637;60371;61031;66902;66700;66475;70175;73441;75474;76564;72357;72102;72546;78992;79490;79496;85544;86020;91398;87064;85524;85077;81547;83503;86206;90333;83644;91407;96766;99970;95730;95399;96336;98183;96247;90217;91581;88386;90703;99160;98232;99814;95398;94344;95712;94715;95919;96341;89022;88175;87183;95980;94132
Dragør;33160;32770;33277;33582;33849;33980;34181;33734;34116;34513;34514;34950;34605;34145;33673;33972;34721;34691;34635;35029;35106;34728;34667;34375;34501;36057;36808;36535;36620;37871;37198;37626;35807;36061;37841;38742;40960;43313;42732;42804;42356;41857;41543;43887;44148;43530;44538;45434;45909;48442;46358;47987;50275;49413;48801;48234;47408;45970;45680;45711;44762;43726;43181;43116;43655;44428;45856;44458;44187;46004;46057;44908;44254;45204;45776;45242
Tårnby;31072;31107;31707;32191;32180;31951;31939;31270;31640;32122;32340;32435;32399;32124;31817;31928;31845;31434;31706;31414;31240;31350;31012;30998;31396;31939;31905;32388;32367;31577;30899;31740;32580;32988;33303;33994;35642;36544;36787;40228;40265;41186;40735;39587;39710;38728;38499;39073;39782;40271;39672;39405;40451;41662;40784;40437;40594;39484;38157;37491;38210;37266;36586;37296;37364;37466;37254;36869;37787;37967;39445;38315;39573;39033;38850;39725
Landsdel Københavns omegn;33489;33614;33956;34383;34340;34128;34210;34369;34353;34276;34651;34709;34944;34768;34935;35263;35209;35538;35479;35837;35920;35801;35748;35720;35913;35887;36273;36280;36474;36780;36993;37489;38093;38339;38501;38908;39822;40888;41428;42223;43223;43902;44010;44783;45762;45869;45849;45722;46390;46460;46926;46964;46588;47426;47325;47123;46421;45815;45078;44609;44310;43557;43559;43475;44354;44634;44451;45000;45746;46526;46515;46233;46233;46251;46059;46341
Albertslund;22190;22620;22792;23105;22921;23274;24658;23549;24349;25003;24362;24192;24190;24659;24430;24372;23876;23693;23750;23472;24247;24452;24460;24299;24433;24407;24173;24152;24990;25066;25593;25663;25463;25859;26339;26807;26745;27569;26857;27392;28369;27680;28004;28339;28184;27405;28352;29195;26957;27188;26883;27431;27637;29378;30153;29887;29919;29900;29336;29147;29012;28263;28026;28117;27943;28304;27412;27480;28702;29142;29348;30181;29074;28761;28270;29026
Ballerup;25722;26119;26551;26965;27532;27345;27588;27816;27742;27292;27349;27344;27327;27894;28347;27903;27720;27710;27984;27490;27712;27714;27689;28026;28097;27762;28387;28627;28893;29761;29950;29871;30155;30072;29928;29749;29821;31618;31965;31709;34486;34615;34005;33909;34982;35604;34135;34656;35476;34718;34142;34969;34035;33966;34654;34667;34649;33802;32994;32758;32170;32035;31885;32272;31887;32927;33181;33290;33295;33582;33814;33216;33076;33269;34395;34849
Brøndby;24373;24993;25633;25836;26036;26068;25709;26298;25972;25829;26014;26139;26050;26284;26708;26576;26359;26017;26114;26544;26375;26494;26444;26591;26365;27168;27298;27205;26935;27031;27508;28168;28468;28826;28198;27640;28331;28924;28581;29110;30208;31001;31109;31355;32045;33859;34232;34937;34178;34438;34770;34526;34523;36298;36138;36428;34906;34277;34274;34052;33820;32588;32663;32732;33133;33856;33486;33833;33662;34343;33142;32861;33580;34231;34453;34120
Gentofte;53895;53291;53624;54030;54541;54401;54515;55128;54823;54522;56113;56092;56658;55882;55652;56833;57685;58959;59042;59944;59747;58977;57346;57240;58417;58726;60494;61413;61062;60851;60914;60338;62700;64298;64668;63549;66969;70145;71391;72963;74412;77557;76810;80052;82455;81849;82943;84475;87360;86452;85774;87133;85046;85124;84917;83343;82535;81327;79782;77998;77337;75898;76879;77122;81525;82131;80840;81124;83842;85199;86729;85379;84012;83590;83032;83373
Gladsaxe;37439;35427;35845;35969;35639;34903;34997;34954;35409;35104;35863;35957;36508;35755;36026;36735;36154;37077;37142;36687;36543;37413;37694;37645;38197;37422;37136;36823;36037;35892;35444;36604;35455;36404;37450;37327;38564;39871;41418;43678;43786;44989;45860;46437;47263;47684;46254;44546;45620;45715;47253;46899;46790;49203;49915;50986;48569;46436;46156;45744;45663;45033;43802;43513;43514;43657;44545;45047;46730;47879;47385;46303;46427;46860;47063;48139
Glostrup;25769;26342;27257;26677;25691;26525;27707;27465;28476;28267;28576;28091;28532;27950;27925;27820;27710;27812;27316;26855;26925;27314;27210;26950;26815;27513;27653;28180;27882;27680;28393;29314;30499;30221;28684;29578;29565;32369;31689;32369;33757;33519;34100;35058;34191;34931;35200;34523;33547;34487;34361;35779;36919;34562;34276;33679;32771;32242;31397;31439;30643;31453;32085;33222;32609;33129;32419;33265;33659;33800;33351;33890;34000;34609;35016;35290
Herlev;27465;27881;29539;29326;29890;29794;30465;29879;29800;30075;29823;29847;31500;31199;31247;30720;31183;30723;31029;30844;30982;30570;31274;31144;31158;30900;30745;31394;31031;31163;31619;32155;31696;31782;31527;32455;33213;33131;35185;34309;34556;35507;36817;35901;37433;37784;38479;37219;38409;37678;37668;36842;38348;37600;36756;36899;36469;36177;35287;35097;34800;34452;34437;34381;34758;35610;35187;35834;35740;35709;35062;34263;35340;35135;35583;36354
Hvidovre;29232;30210;29959;30290;29939;30485;30514;30229;30684;30012;30478;30636;31417;30980;31932;32165;32249;32199;31652;32424;32496;32467;32398;32133;32020;31920;32684;31662;32021;32900;33674;34147;34185;34713;34297;35190;36366;37986;39261;39973;39975;40592;42069;41000;41984;41235;40574;40884;40739;41266;42307;41401;41910;41317;41494;40658;41067;41357;40711;40446;39897;38856;38821;39024;37685;37948;37552;37975;38979;40128;40462;41203;41572;40824;41461;40337
Høje-Taastrup;21807;22315;22054;22184;22260;21705;21247;21645;21469;21374;21199;22642;22598;23378;23371;23232;23292;23378;23473;23269;23317;23420;23316;23607;24022;23541;23892;23637;23668;23896;23986;24243;25242;25355;25266;25403;25422;26884;26401;26084;26620;27124;26656;26552;26541;26329;27233;27474;27808;27339;28647;28099;27713;28607;28733;29250;29327;29346;28380;28751;28261;28068;27864;27742;28131;27854;27837;27600;27598;27564;27548;27366;27472;27204;27147;27258
Ishøj;23281;22143;22438;22116;21809;22115;22204;22262;22423;22567;22094;21872;22090;21951;22574;21686;21654;21932;22138;22460;22890;22866;22694;22555;22669;22663;23364;24162;24766;23713;25755;26711;26185;26011;24094;24910;24632;24910;24778;25319;26119;25268;26699;29144;29398;28678;27019;25644;25595;29341;28615;28335;28882;28870;29042;28866;28258;28453;27820;27232;26935;26809;26619;26557;27168;27350;27246;27016;27228;27994;27578;27302;27092;27715;27516;27850
Lyngby-Taarbæk;41763;43992;44841;46371;45742;45552;45092;45596;45050;45429;45796;45197;44863;44276;44807;45822;44595;45362;45787;47074;47486;46968;47303;47683;47332;47463;47766;46839;48519;49664;49836;51723;53641;51530;52292;56671;56733;54241;54623;55371;56518;55775;54764;56147;57623;58179;59207;57891;58420;58495;60184;60379;60059;63637;61526;61151;59697;59696;58821;58413;58937;57151;57680;56886;59524;58952;59008;62062;61564;62094;60962;60982;62261;63416;61074;61524
Rødovre;33344;33156;33172;34601;34638;34135;33996;34421;33978;34031;33830;33896;33127;33487;32705;33396;33987;33585;31814;33913;33737;32542;32985;32976;32078;32647;32086;32818;33067;33862;33177;33823;33894;33494;35142;33751;34496;35748;35308;37755;39718;39462;40255;40951;41318;42074;41040;40680;41728;42454;41503;40516;39108;39937;39578;39703;39444;39194;39245;38482;38295;37929;37727;37215;37399;37716;37986;37689;38530;40202;40666;41024;40981;40225;39645;40068
Vallensbæk;26879;26441;26256;26727;26318;24279;25200;25303;25084;26054;26468;25924;26006;25908;25702;25846;25906;25867;25800;25396;25698;26083;28225;26818;27378;27319;26548;26394;27686;28091;28521;28334;28629;30432;30591;30585;30881;30475;31195;30715;31059;31512;31035;31674;32991;32886;32573;31983;32083;33087;35373;34810;34991;35330;36285;36095;35982;34763;34377;34433;34311;34038;33502;32321;32177;32297;32600;32976;32490;33609;33140;33801;33249;32745;32657;32922
