Pris;Kommune;Dato;Boligtype
20256;Region Hovedstaden;2004-01-01;Ejerlejlighed
20449;Region Hovedstaden;2004-02-01;Ejerlejlighed
20620;Region Hovedstaden;2004-03-01;Ejerlejlighed
21097;Region Hovedstaden;2004-04-01;Ejerlejlighed
21231;Region Hovedstaden;2004-05-01;Ejerlejlighed
21799;Region Hovedstaden;2004-06-01;Ejerlejlighed
22343;Region Hovedstaden;2004-07-01;Ejerlejlighed
22564;Region Hovedstaden;2004-08-01;Ejerlejlighed
22879;Region Hovedstaden;2004-09-01;Ejerlejlighed
23041;Region Hovedstaden;2004-10-01;Ejerlejlighed
23648;Region Hovedstaden;2004-11-01;Ejerlejlighed
24016;Region Hovedstaden;2004-12-01;Ejerlejlighed
24541;Region Hovedstaden;2005-01-01;Ejerlejlighed
25103;Region Hovedstaden;2005-02-01;Ejerlejlighed
25734;Region Hovedstaden;2005-03-01;Ejerlejlighed
26595;Region Hovedstaden;2005-04-01;Ejerlejlighed
27604;Region Hovedstaden;2005-05-01;Ejerlejlighed
28341;Region Hovedstaden;2005-06-01;Ejerlejlighed
29163;Region Hovedstaden;2005-07-01;Ejerlejlighed
30105;Region Hovedstaden;2005-08-01;Ejerlejlighed
30753;Region Hovedstaden;2005-09-01;Ejerlejlighed
31673;Region Hovedstaden;2005-10-01;Ejerlejlighed
32436;Region Hovedstaden;2005-11-01;Ejerlejlighed
32983;Region Hovedstaden;2005-12-01;Ejerlejlighed
33944;Region Hovedstaden;2006-01-01;Ejerlejlighed
34401;Region Hovedstaden;2006-02-01;Ejerlejlighed
34686;Region Hovedstaden;2006-03-01;Ejerlejlighed
35046;Region Hovedstaden;2006-04-01;Ejerlejlighed
36118;Region Hovedstaden;2006-05-01;Ejerlejlighed
36274;Region Hovedstaden;2006-06-01;Ejerlejlighed
36267;Region Hovedstaden;2006-07-01;Ejerlejlighed
35944;Region Hovedstaden;2006-08-01;Ejerlejlighed
35581;Region Hovedstaden;2006-09-01;Ejerlejlighed
35195;Region Hovedstaden;2006-10-01;Ejerlejlighed
35025;Region Hovedstaden;2006-11-01;Ejerlejlighed
34808;Region Hovedstaden;2006-12-01;Ejerlejlighed
34757;Region Hovedstaden;2007-01-01;Ejerlejlighed
34393;Region Hovedstaden;2007-02-01;Ejerlejlighed
34207;Region Hovedstaden;2007-03-01;Ejerlejlighed
34099;Region Hovedstaden;2007-04-01;Ejerlejlighed
34202;Region Hovedstaden;2007-05-01;Ejerlejlighed
34206;Region Hovedstaden;2007-06-01;Ejerlejlighed
33554;Region Hovedstaden;2007-07-01;Ejerlejlighed
33313;Region Hovedstaden;2007-08-01;Ejerlejlighed
33313;Region Hovedstaden;2007-09-01;Ejerlejlighed
32831;Region Hovedstaden;2007-10-01;Ejerlejlighed
32711;Region Hovedstaden;2007-11-01;Ejerlejlighed
32499;Region Hovedstaden;2007-12-01;Ejerlejlighed
32326;Region Hovedstaden;2008-01-01;Ejerlejlighed
32231;Region Hovedstaden;2008-02-01;Ejerlejlighed
31980;Region Hovedstaden;2008-03-01;Ejerlejlighed
31904;Region Hovedstaden;2008-04-01;Ejerlejlighed
31723;Region Hovedstaden;2008-05-01;Ejerlejlighed
31518;Region Hovedstaden;2008-06-01;Ejerlejlighed
31023;Region Hovedstaden;2008-07-01;Ejerlejlighed
30790;Region Hovedstaden;2008-08-01;Ejerlejlighed
30320;Region Hovedstaden;2008-09-01;Ejerlejlighed
29616;Region Hovedstaden;2008-10-01;Ejerlejlighed
29333;Region Hovedstaden;2008-11-01;Ejerlejlighed
28966;Region Hovedstaden;2008-12-01;Ejerlejlighed
