Pris;Kommune;Dato
20256;Region Hovedstaden;2004-01-01
20449;Region Hovedstaden;2004-02-01
20620;Region Hovedstaden;2004-03-01
21097;Region Hovedstaden;2004-04-01
21231;Region Hovedstaden;2004-05-01
21799;Region Hovedstaden;2004-06-01
22343;Region Hovedstaden;2004-07-01
22564;Region Hovedstaden;2004-08-01
22879;Region Hovedstaden;2004-09-01
23041;Region Hovedstaden;2004-10-01
23648;Region Hovedstaden;2004-11-01
24016;Region Hovedstaden;2004-12-01
24541;Region Hovedstaden;2005-01-01
25103;Region Hovedstaden;2005-02-01
25734;Region Hovedstaden;2005-03-01
26595;Region Hovedstaden;2005-04-01
27604;Region Hovedstaden;2005-05-01
28341;Region Hovedstaden;2005-06-01
29163;Region Hovedstaden;2005-07-01
30105;Region Hovedstaden;2005-08-01
30753;Region Hovedstaden;2005-09-01
31673;Region Hovedstaden;2005-10-01
32436;Region Hovedstaden;2005-11-01
32983;Region Hovedstaden;2005-12-01
33944;Region Hovedstaden;2006-01-01
34401;Region Hovedstaden;2006-02-01
34686;Region Hovedstaden;2006-03-01
35046;Region Hovedstaden;2006-04-01
36118;Region Hovedstaden;2006-05-01
36274;Region Hovedstaden;2006-06-01
36267;Region Hovedstaden;2006-07-01
35944;Region Hovedstaden;2006-08-01
35581;Region Hovedstaden;2006-09-01
35195;Region Hovedstaden;2006-10-01
35025;Region Hovedstaden;2006-11-01
34808;Region Hovedstaden;2006-12-01
34757;Region Hovedstaden;2007-01-01
34393;Region Hovedstaden;2007-02-01
34207;Region Hovedstaden;2007-03-01
34099;Region Hovedstaden;2007-04-01
34202;Region Hovedstaden;2007-05-01
34206;Region Hovedstaden;2007-06-01
33554;Region Hovedstaden;2007-07-01
33313;Region Hovedstaden;2007-08-01
33313;Region Hovedstaden;2007-09-01
32831;Region Hovedstaden;2007-10-01
32711;Region Hovedstaden;2007-11-01
32499;Region Hovedstaden;2007-12-01
32326;Region Hovedstaden;2008-01-01
32231;Region Hovedstaden;2008-02-01
31980;Region Hovedstaden;2008-03-01
