Pris;Kommune;Dato
17799;Region Hovedstaden;2004-01-01
17802;Region Hovedstaden;2004-02-01
17549;Region Hovedstaden;2004-03-01
18017;Region Hovedstaden;2004-04-01
17988;Region Hovedstaden;2004-05-01
18008;Region Hovedstaden;2004-06-01
18536;Region Hovedstaden;2004-07-01
18686;Region Hovedstaden;2004-08-01
18683;Region Hovedstaden;2004-09-01
18961;Region Hovedstaden;2004-10-01
19107;Region Hovedstaden;2004-11-01
19191;Region Hovedstaden;2004-12-01
19486;Region Hovedstaden;2005-01-01
19585;Region Hovedstaden;2005-02-01
19940;Region Hovedstaden;2005-03-01
20349;Region Hovedstaden;2005-04-01
20873;Region Hovedstaden;2005-05-01
21845;Region Hovedstaden;2005-06-01
22475;Region Hovedstaden;2005-07-01
23153;Region Hovedstaden;2005-08-01
24020;Region Hovedstaden;2005-09-01
24783;Region Hovedstaden;2005-10-01
24330;Region Hovedstaden;2005-11-01
24263;Region Hovedstaden;2005-12-01
24501;Region Hovedstaden;2006-01-01
24931;Region Hovedstaden;2006-02-01
25214;Region Hovedstaden;2006-03-01
25678;Region Hovedstaden;2006-04-01
26476;Region Hovedstaden;2006-05-01
27376;Region Hovedstaden;2006-06-01
27865;Region Hovedstaden;2006-07-01
27910;Region Hovedstaden;2006-08-01
27941;Region Hovedstaden;2006-09-01
27809;Region Hovedstaden;2006-10-01
27796;Region Hovedstaden;2006-11-01
27554;Region Hovedstaden;2006-12-01
26958;Region Hovedstaden;2007-01-01
27178;Region Hovedstaden;2007-02-01
27594;Region Hovedstaden;2007-03-01
27778;Region Hovedstaden;2007-04-01
28023;Region Hovedstaden;2007-05-01
27782;Region Hovedstaden;2007-06-01
27968;Region Hovedstaden;2007-07-01
27894;Region Hovedstaden;2007-08-01
28214;Region Hovedstaden;2007-09-01
27557;Region Hovedstaden;2007-10-01
27599;Region Hovedstaden;2007-11-01
27829;Region Hovedstaden;2007-12-01
27583;Region Hovedstaden;2008-01-01
27545;Region Hovedstaden;2008-02-01
27194;Region Hovedstaden;2008-03-01
27143;Region Hovedstaden;2008-04-01
27152;Region Hovedstaden;2008-05-01
26998;Region Hovedstaden;2008-06-01
26988;Region Hovedstaden;2008-07-01
26773;Region Hovedstaden;2008-08-01
26315;Region Hovedstaden;2008-09-01
26278;Region Hovedstaden;2008-10-01
26174;Region Hovedstaden;2008-11-01
25831;Region Hovedstaden;2008-12-01
25484;Region Hovedstaden;2009-01-01
25199;Region Hovedstaden;2009-02-01
25395;Region Hovedstaden;2009-03-01
25502;Region Hovedstaden;2009-04-01
25208;Region Hovedstaden;2009-05-01
25235;Region Hovedstaden;2009-06-01
25236;Region Hovedstaden;2009-07-01
25139;Region Hovedstaden;2009-08-01
25288;Region Hovedstaden;2009-09-01
24626;Region Hovedstaden;2009-10-01
24390;Region Hovedstaden;2009-11-01
23898;Region Hovedstaden;2009-12-01
24043;Region Hovedstaden;2010-01-01
23668;Region Hovedstaden;2010-02-01
24520;Region Hovedstaden;2010-03-01
24297;Region Hovedstaden;2010-04-01
24648;Region Hovedstaden;2010-05-01
24462;Region Hovedstaden;2010-06-01
24397;Region Hovedstaden;2010-07-01
24332;Region Hovedstaden;2010-08-01
23835;Region Hovedstaden;2010-09-01
23638;Region Hovedstaden;2010-10-01
23191;Region Hovedstaden;2010-11-01
23322;Region Hovedstaden;2010-12-01
23130;Region Hovedstaden;2011-01-01
22894;Region Hovedstaden;2011-02-01
22744;Region Hovedstaden;2011-03-01
22775;Region Hovedstaden;2011-04-01
22807;Region Hovedstaden;2011-05-01
22305;Region Hovedstaden;2011-06-01
22217;Region Hovedstaden;2011-07-01
22217;Region Hovedstaden;2011-08-01
21970;Region Hovedstaden;2011-09-01
21681;Region Hovedstaden;2011-10-01
21783;Region Hovedstaden;2011-11-01
21951;Region Hovedstaden;2011-12-01
21935;Region Hovedstaden;2012-01-01
21761;Region Hovedstaden;2012-02-01
21319;Region Hovedstaden;2012-03-01
21426;Region Hovedstaden;2012-04-01
21434;Region Hovedstaden;2012-05-01
21440;Region Hovedstaden;2012-06-01
21562;Region Hovedstaden;2012-07-01
21784;Region Hovedstaden;2012-08-01
21587;Region Hovedstaden;2012-09-01
21506;Region Hovedstaden;2012-10-01
21344;Region Hovedstaden;2012-11-01
21379;Region Hovedstaden;2012-12-01
21545;Region Hovedstaden;2013-01-01
21408;Region Hovedstaden;2013-02-01
21197;Region Hovedstaden;2013-03-01
21130;Region Hovedstaden;2013-04-01
21213;Region Hovedstaden;2013-05-01
21134;Region Hovedstaden;2013-06-01
21117;Region Hovedstaden;2013-07-01
20998;Region Hovedstaden;2013-08-01
20700;Region Hovedstaden;2013-09-01
20932;Region Hovedstaden;2013-10-01
20900;Region Hovedstaden;2013-11-01
20422;Region Hovedstaden;2013-12-01
20231;Region Hovedstaden;2014-01-01
20085;Region Hovedstaden;2014-02-01
19801;Region Hovedstaden;2014-03-01
20084;Region Hovedstaden;2014-04-01
20364;Region Hovedstaden;2014-05-01
20524;Region Hovedstaden;2014-06-01
20642;Region Hovedstaden;2014-07-01
20473;Region Hovedstaden;2014-08-01
20186;Region Hovedstaden;2014-09-01
20156;Region Hovedstaden;2014-10-01
20017;Region Hovedstaden;2014-11-01
19976;Region Hovedstaden;2014-12-01
20071;Region Hovedstaden;2015-01-01
20175;Region Hovedstaden;2015-02-01
20443;Region Hovedstaden;2015-03-01
20706;Region Hovedstaden;2015-04-01
20706;Region Hovedstaden;2015-05-01
20844;Region Hovedstaden;2015-06-01
21274;Region Hovedstaden;2015-07-01
21283;Region Hovedstaden;2015-08-01
20913;Region Hovedstaden;2015-09-01
21394;Region Hovedstaden;2015-10-01
21014;Region Hovedstaden;2015-11-01
20857;Region Hovedstaden;2015-12-01
20924;Region Hovedstaden;2016-01-01
21048;Region Hovedstaden;2016-02-01
22011;Region Hovedstaden;2016-03-01
22320;Region Hovedstaden;2016-04-01
22535;Region Hovedstaden;2016-05-01
22270;Region Hovedstaden;2016-06-01
22686;Region Hovedstaden;2016-07-01
22767;Region Hovedstaden;2016-08-01
23116;Region Hovedstaden;2016-09-01
22870;Region Hovedstaden;2016-10-01
22869;Region Hovedstaden;2016-11-01
22598;Region Hovedstaden;2016-12-01
22494;Region Hovedstaden;2017-01-01
22310;Region Hovedstaden;2017-02-01
22904;Region Hovedstaden;2017-03-01
23129;Region Hovedstaden;2017-04-01
23121;Region Hovedstaden;2017-05-01
23617;Region Hovedstaden;2017-06-01
23935;Region Hovedstaden;2017-07-01
23862;Region Hovedstaden;2017-08-01
23751;Region Hovedstaden;2017-09-01
24064;Region Hovedstaden;2017-10-01
23679;Region Hovedstaden;2017-11-01
23780;Region Hovedstaden;2017-12-01
11051;Landsdel København by;2004-01-01
13770;Landsdel København by;2004-02-01
12724;Landsdel København by;2004-03-01
11310;Landsdel København by;2004-04-01
12267;Landsdel København by;2004-05-01
13740;Landsdel København by;2004-06-01
13988;Landsdel København by;2004-07-01
11199;Landsdel København by;2004-08-01
19833;Landsdel København by;2004-09-01
20423;Landsdel København by;2004-10-01
20310;Landsdel København by;2004-11-01
12501;Landsdel København by;2004-12-01
12322;Landsdel København by;2005-01-01
14345;Landsdel København by;2005-02-01
11305;Landsdel København by;2005-03-01
9358;Landsdel København by;2005-04-01
9651;Landsdel København by;2005-05-01
12552;Landsdel København by;2005-06-01
13219;Landsdel København by;2005-07-01
22004;Landsdel København by;2005-08-01
26267;Landsdel København by;2005-09-01
22358;Landsdel København by;2005-10-01
21033;Landsdel København by;2005-11-01
21049;Landsdel København by;2005-12-01
24892;Landsdel København by;2006-01-01
28452;Landsdel København by;2006-02-01
29452;Landsdel København by;2006-03-01
37173;Landsdel København by;2006-04-01
34564;Landsdel København by;2006-05-01
38662;Landsdel København by;2006-06-01
21392;Landsdel København by;2006-07-01
19963;Landsdel København by;2006-08-01
29180;Landsdel København by;2006-09-01
30979;Landsdel København by;2006-10-01
39084;Landsdel København by;2006-11-01
39110;Landsdel København by;2006-12-01
39110;Landsdel København by;2007-01-01
37417;Landsdel København by;2007-02-01
38645;Landsdel København by;2007-03-01
30293;Landsdel København by;2007-04-01
30453;Landsdel København by;2007-05-01
29734;Landsdel København by;2007-06-01
29732;Landsdel København by;2007-07-01
31544;Landsdel København by;2007-08-01
32093;Landsdel København by;2007-09-01
32049;Landsdel København by;2007-10-01
35020;Landsdel København by;2007-11-01
34287;Landsdel København by;2007-12-01
34432;Landsdel København by;2008-01-01
30934;Landsdel København by;2008-02-01
29334;Landsdel København by;2008-03-01
28831;Landsdel København by;2008-04-01
28669;Landsdel København by;2008-05-01
26281;Landsdel København by;2008-06-01
26031;Landsdel København by;2008-07-01
26321;Landsdel København by;2008-08-01
26423;Landsdel København by;2008-09-01
26470;Landsdel København by;2008-10-01
25891;Landsdel København by;2008-11-01
24888;Landsdel København by;2008-12-01
24881;Landsdel København by;2009-01-01
27571;Landsdel København by;2009-02-01
28600;Landsdel København by;2009-03-01
28773;Landsdel København by;2009-04-01
28340;Landsdel København by;2009-05-01
31417;Landsdel København by;2009-06-01
22687;Landsdel København by;2009-07-01
22696;Landsdel København by;2009-08-01
20474;Landsdel København by;2009-09-01
19860;Landsdel København by;2009-10-01
18909;Landsdel København by;2009-11-01
19144;Landsdel København by;2009-12-01
19272;Landsdel København by;2010-01-01
19167;Landsdel København by;2010-02-01
19417;Landsdel København by;2010-03-01
18900;Landsdel København by;2010-04-01
18459;Landsdel København by;2010-05-01
20601;Landsdel København by;2010-06-01
20658;Landsdel København by;2010-07-01
21655;Landsdel København by;2010-08-01
22114;Landsdel København by;2010-09-01
22238;Landsdel København by;2010-10-01
21926;Landsdel København by;2010-11-01
22295;Landsdel København by;2010-12-01
22392;Landsdel København by;2011-01-01
21372;Landsdel København by;2011-02-01
22630;Landsdel København by;2011-03-01
21506;Landsdel København by;2011-04-01
21204;Landsdel København by;2011-05-01
20800;Landsdel København by;2011-06-01
22945;Landsdel København by;2011-07-01
24997;Landsdel København by;2011-08-01
20269;Landsdel København by;2011-09-01
20138;Landsdel København by;2011-10-01
19702;Landsdel København by;2011-11-01
20071;Landsdel København by;2011-12-01
20286;Landsdel København by;2012-01-01
20192;Landsdel København by;2012-02-01
19925;Landsdel København by;2012-03-01
20503;Landsdel København by;2012-04-01
20491;Landsdel København by;2012-05-01
19767;Landsdel København by;2012-06-01
20018;Landsdel København by;2012-07-01
26842;Landsdel København by;2012-08-01
26112;Landsdel København by;2012-09-01
25845;Landsdel København by;2012-10-01
26387;Landsdel København by;2012-11-01
26772;Landsdel København by;2012-12-01
20111;Landsdel København by;2013-01-01
18302;Landsdel København by;2013-02-01
18552;Landsdel København by;2013-03-01
17329;Landsdel København by;2013-04-01
24698;Landsdel København by;2013-05-01
22412;Landsdel København by;2013-06-01
22323;Landsdel København by;2013-07-01
22306;Landsdel København by;2013-08-01
21809;Landsdel København by;2013-09-01
20670;Landsdel København by;2013-10-01
21903;Landsdel København by;2013-11-01
18572;Landsdel København by;2013-12-01
18736;Landsdel København by;2014-01-01
20860;Landsdel København by;2014-02-01
21036;Landsdel København by;2014-03-01
20242;Landsdel København by;2014-04-01
20529;Landsdel København by;2014-05-01
20524;Landsdel København by;2014-06-01
22738;Landsdel København by;2014-07-01
22591;Landsdel København by;2014-08-01
22387;Landsdel København by;2014-09-01
26137;Landsdel København by;2014-10-01
24455;Landsdel København by;2014-11-01
24136;Landsdel København by;2014-12-01
24498;Landsdel København by;2015-01-01
20539;Landsdel København by;2015-02-01
23699;Landsdel København by;2015-03-01
25039;Landsdel København by;2015-04-01
23653;Landsdel København by;2015-05-01
20110;Landsdel København by;2015-06-01
19690;Landsdel København by;2015-07-01
15768;Landsdel København by;2015-08-01
29208;Landsdel København by;2015-09-01
28295;Landsdel København by;2015-10-01
31280;Landsdel København by;2015-11-01
31957;Landsdel København by;2015-12-01
33523;Landsdel København by;2016-01-01
35731;Landsdel København by;2016-02-01
36906;Landsdel København by;2016-03-01
31595;Landsdel København by;2016-04-01
31940;Landsdel København by;2016-05-01
31518;Landsdel København by;2016-06-01
30610;Landsdel København by;2016-07-01
30822;Landsdel København by;2016-08-01
28728;Landsdel København by;2016-09-01
27024;Landsdel København by;2016-10-01
26437;Landsdel København by;2016-11-01
24619;Landsdel København by;2016-12-01
24473;Landsdel København by;2017-01-01
24149;Landsdel København by;2017-02-01
23984;Landsdel København by;2017-03-01
23731;Landsdel København by;2017-04-01
24200;Landsdel København by;2017-05-01
26472;Landsdel København by;2017-06-01
24531;Landsdel København by;2017-07-01
28518;Landsdel København by;2017-08-01
29433;Landsdel København by;2017-09-01
29226;Landsdel København by;2017-10-01
29754;Landsdel København by;2017-11-01
28725;Landsdel København by;2017-12-01
16236;København;2004-01-01
16546;København;2004-02-01
17339;København;2004-03-01
16127;København;2004-04-01
16351;København;2004-05-01
17228;København;2004-06-01
16917;København;2004-07-01
14549;København;2004-08-01
12500;København;2004-09-01
11250;København;2004-10-01
16911;København;2004-11-01
11250;København;2004-12-01
12868;København;2005-01-01
16738;København;2005-02-01
16738;København;2005-03-01
19208;København;2005-04-01
21059;København;2005-05-01
17263;København;2005-06-01
17263;København;2005-07-01
23732;København;2005-08-01
23732;København;2005-09-01
24321;København;2005-10-01
29672;København;2005-11-01
0;København;2005-12-01
13636;København;2006-01-01
19672;København;2006-02-01
0;København;2006-03-01
0;København;2006-04-01
0;København;2006-05-01
0;København;2006-06-01
0;København;2006-07-01
0;København;2006-08-01
0;København;2006-09-01
20690;København;2006-10-01
0;København;2006-11-01
0;København;2006-12-01
0;København;2007-01-01
0;København;2007-02-01
0;København;2007-03-01
23438;København;2007-04-01
23438;København;2007-05-01
25347;København;2007-06-01
26303;København;2007-07-01
26114;København;2007-08-01
28904;København;2007-09-01
23150;København;2007-10-01
21642;København;2007-11-01
19371;København;2007-12-01
19223;København;2008-01-01
23494;København;2008-02-01
23494;København;2008-03-01
21429;København;2008-04-01
21429;København;2008-05-01
24960;København;2008-06-01
21734;København;2008-07-01
21734;København;2008-08-01
22723;København;2008-09-01
20960;København;2008-10-01
19911;København;2008-11-01
19554;København;2008-12-01
18661;København;2009-01-01
18125;København;2009-02-01
18482;København;2009-03-01
18036;København;2009-04-01
17589;København;2009-05-01
0;København;2009-06-01
0;København;2009-07-01
0;København;2009-08-01
18571;København;2009-09-01
16791;København;2009-10-01
16791;København;2009-11-01
18571;København;2009-12-01
0;København;2010-01-01
0;København;2010-02-01
0;København;2010-03-01
0;København;2010-04-01
0;København;2010-05-01
64750;København;2010-06-01
25306;København;2010-07-01
40964;København;2010-08-01
43240;København;2010-09-01
42573;København;2010-10-01
40031;København;2010-11-01
40031;København;2010-12-01
38124;København;2011-01-01
28524;København;2011-02-01
32690;København;2011-03-01
32406;København;2011-04-01
25588;København;2011-05-01
30604;København;2011-06-01
32702;København;2011-07-01
30146;København;2011-08-01
30704;København;2011-09-01
34228;København;2011-10-01
28675;København;2011-11-01
32994;København;2011-12-01
40354;København;2012-01-01
40354;København;2012-02-01
39923;København;2012-03-01
38548;København;2012-04-01
